Jumlah_Lengan,Bercabang,Simetris,Knob,Ukuran_Lengan,Bentuk_Lengan,Ujung_Lengan,Ujung_Lengan_Melengkung,Spesies
3,Ya,Ya,Tidak,Panjang,Pipih,Lancip,Tidak,Discoaster triradiatus
4,Tidak,Ya,Tidak,Pendek,Pipih,Tumpul,Tidak,Discoaster tamalis
4,Tidak,Tidak,Tidak,Pendek,Pipih,Lancip,Tidak,Discoaster alyssae
5,Tidak,Tidak,Ya,Panjang,Pipih,Lancip,Tidak,Discoaster asymmetricus
5,Ya,Tidak,Tidak,Panjang,Pipih,Lancip,Tidak,Discoaster pentaradiatus
5,Ya,Tidak,Tidak,Panjang,Tebal,Lancip,Tidak,Discoaster prepentaradiatus
5,Tidak,Ya,Tidak,Panjang,Pipih,Lancip,Ya,Discoaster hamatus
5,Tidak,Ya,Tidak,Pendek,Pipih,Tumpul,Tidak,Discoaster bellus
5,Tidak,Ya,Ya,Panjang,Pipih,Tumpul,Tidak,Discoaster quinqueramus
5,Tidak,Ya,Ya,Pendek,Pipih,Tumpul,Tidak,Discoaster berggrenii
5,Tidak,Ya,Ya,Pendek,Pipih,Tumpul,Tidak,Discoaster consutus
5,Tidak,Ya,Ya,Pendek,Pipih,Tumpul,Tidak,Discoaster bergenii
6,Tidak,Ya,Ya,Panjang,Pipih,Lancip,Tidak,Discoaster brouweri
6,Tidak,Ya,Ya,Panjang,Pipih,Lancip,Tidak,Discoaster altus
6,Tidak,Tidak,Ya,Panjang,Pipih,Lancip,Ya,Discoaster calcaris
6,Tidak,Ya,Ya,Panjang,Pipih,Tumpul,Tidak,Discoaster braarudii
6,Tidak,Ya,Ya,Panjang,Pipih,Lancip,Tidak,Discoaster neorectus
6,Tidak,Ya,Ya,Pendek,Pipih,Lancip,Tidak,Discoaster dennei
6,Tidak,Ya,Ya,Pendek,Pipih,Tumpul,Tidak,Discoaster formosus
6,Tidak,Ya,Tidak,Pendek,Tebal,Tumpul,Tidak,Discoaster pliostellulus
6,Ya,Tidak,Tidak,Panjang,Pipih,Tumpul,Tidak,Discoaster surculus
6,Ya,Ya,Ya,Panjang,Pipih,Tumpul,Tidak,Discoaster pseudovariabilis
6,Ya,Ya,Ya,Panjang,Pipih,Tumpul,Tidak,Discoaster subsurculus
6,Ya,Tidak,Ya,Panjang,Pipih,Tumpul,Tidak,Discoaster variabilis
6,Tidak,Tidak,Tidak,Panjang,Pipih,Lancip,Ya,Discoaster loeblichii
6,Ya,Ya,Ya,Pendek,Tebal,Lancip,Tidak,Discoaster mendomobensis
6,Ya,Ya,Ya,Panjang,Pipih,Tumpul,Tidak,Discoaster exilis
6,Ya,Ya,Ya,Panjang,Pipih,Tumpul,Tidak,Discoaster bollii
6,Ya,Ya,Ya,Panjang,Pipih,Tumpul,Tidak,Discoaster bollii
6,Ya,Ya,Ya,Panjang,Pipih,Tumpul,Tidak,Discoaster bollii
6,Ya,Ya,Ya,Panjang,Pipih,Tumpul,Tidak,Discoaster bollii
6,Ya,Ya,Ya,Panjang,Pipih,Tumpul,Tidak,Discoaster bollii
6,Ya,Ya,Ya,Pendek,Pipih,Tumpul,Tidak,Discoaster bollii
6,Ya,Ya,Ya,Pendek,Pipih,Tumpul,Tidak,Discoaster bollii
6,Ya,Ya,Ya,Pendek,Pipih,Tumpul,Tidak,Discoaster bollii
6,Ya,Ya,Ya,Pendek,Pipih,Tumpul,Tidak,Discoaster bollii
6,Ya,Ya,Ya,Pendek,Pipih,Tumpul,Tidak,Discoaster bollii
6,Ya,Ya,Ya,Panjang,Pipih,Lancip,Tidak,Discoaster petaliformis
6,Ya,Ya,Ya,Pendek,Tebal,Tumpul,Tidak,Discoaster sanmiguelensis
6,Ya,Tidak,Ya,Pendek,Tebal,Tumpul,Tidak,Discoaster musicus
6,Ya,Ya,Ya,Pendek,Pipih,Lancip,Tidak,Discoaster virginianus
6,Ya,Ya,Tidak,Pendek,Tebal,Tumpul,Tidak,Discoaster micros
6,Ya,Ya,Ya,Pendek,Tebal,Tumpul,Tidak,Discoaster deflandrei
6,Tidak,Tidak,Tidak,Pendek,Tebal,Tumpul,Tidak,Discoaster kugleri
6,Tidak,Tidak,Ya,Pendek,Tebal,Tumpul,Tidak,Discoaster druggii
6,Tidak,Tidak,Ya,Pendek,Tebal,Tumpul,Tidak,Discoaster druggii
6,Tidak,Tidak,Ya,Pendek,Tebal,Tumpul,Tidak,Discoaster druggii
6,Tidak,Tidak,Ya,Pendek,Tebal,Tumpul,Tidak,Discoaster druggii
6,Tidak,Tidak,Ya,Pendek,Tebal,Tumpul,Tidak,Discoaster druggii
6,Tidak,Tidak,Tidak,Pendek,Tebal,Tumpul,Tidak,Discoaster druggii
6,Tidak,Tidak,Tidak,Pendek,Tebal,Tumpul,Tidak,Discoaster druggii
6,Tidak,Tidak,Tidak,Pendek,Tebal,Tumpul,Tidak,Discoaster druggii
6,Tidak,Tidak,Tidak,Pendek,Tebal,Tumpul,Tidak,Discoaster druggii
6,Tidak,Tidak,Tidak,Pendek,Tebal,Tumpul,Tidak,Discoaster druggii
6,Tidak,Ya,Ya,Pendek,Tebal,Tumpul,Tidak,Discoaster adamanteus
